korridor_fra;korridor_til;id2;kvartal;weekday_indicator;time_of_day;reiser;co2_tonn
Klepp;Rennesøy;sykkel;2024-1;Weekday;08:30-13:30;0,0;0,0
Jåsund (Sola);Sola;buss;2021-3;Weekday;08:30-13:30;10,670854078654045;0,0
Nærbø;Madla;rail;2022-1;Weekend;Weekend;0,22216341909961695;0,0
Dusavika (Randaberg);Hommersåk;sykkel;2020-3;Weekday;08:30-13:30;0,0;0,0
Nærbø;Solborg (Stavanger);rail;2022-1;Weekday;13:30-16:30;1,2974343675417632;0,0
Hundvåg;Paradis (Stavanger);buss;2023-3;Weekday;13:30-16:30;7,447365046867367;1,7104055453316678
Ganddal (Sandnes);Madla;buss;2025-2;Weekday;08:30-13:30;0,669246864072383;0,6278652921982825
Solborg (Stavanger);Stavanger sentrum;bil;2025-3;Weekday;20:00-05:30;0,0;0,0
Sandnes sentrum;Lura;rail;2026-1;Weekday;05:30-08:30;0,03143062297494595;
Nærbø;Stavanger sentrum;rail;2019-4;Weekday;16:30-20:00;4,194599462402268;0,0
Rennesøy;Paradis (Stavanger);bil;2025-1;Weekend;Weekend;3,2997107174736318;7,686117012124975
Paradis (Stavanger);Solborg (Stavanger);sykkel;2023-1;Weekend;Weekend;8,020716499267142;0,0
Klepp;Bjergsted (Stavanger);sykkel;2024-1;Weekday;05:30-08:30;0,0;0,0
Hommersåk;Forus;gange;2021-3;Weekday;16:30-20:00;0,18886344232065227;0,0
Bjergsted (Stavanger);Forus;buss;2024-3;Weekday;16:30-20:00;0,14530487492542607;0,10907053007637382
Paradis (Stavanger);Ganddal (Sandnes);gange;2023-4;Weekend;Weekend;0,019063001630659666;0,0
Jåsund (Sola);Madla;sykkel;2024-4;Weekday;20:00-05:30;0,0;0,0
Sykehuset;Solborg (Stavanger);sykkel;2024-3;Weekday;20:00-05:30;0,0;0,0
Nærbø;Lura;buss;2020-2;Weekday;13:30-16:30;0,0;0,0
Solborg (Stavanger);Madla;bil;2022-1;Weekday;16:30-20:00;53,76759850170342;13,079474616443557
Sola;Ganddal (Sandnes);sykkel;2025-2;Weekend;Weekend;3,407578253058707;0,0
Stavanger sentrum;Paradis (Stavanger);bil;2019-2;Weekday;13:30-16:30;141,39051742891974;12,397291984766936
Paradis (Stavanger);Sola;sykkel;2023-2;Weekday;08:30-13:30;2,1004057403565475;0,0
Hommersåk;Madla;buss;2024-4;Weekday;16:30-20:00;0,0;0,0
Paradis (Stavanger);Sykehuset;sykkel;2019-2;Weekday;05:30-08:30;6,588032454902564;0,0
Forus;Sandnes sentrum;rail;2025-4;Weekday;13:30-16:30;7,548587951149605;0,0
Dusavika (Randaberg);Dusavika (Randaberg);bil;2023-1;Weekend;Weekend;372,58799563378034;67,05399867410307
Klepp;Sykehuset;rail;2022-4;Weekday;08:30-13:30;0,8370811118356286;0,0
Paradis (Stavanger);Dusavika (Randaberg);sykkel;2024-2;Weekday;08:30-13:30;8,56424465119655;0,0
Hundvåg;Forus;bil;2022-4;Weekday;13:30-16:30;7,812634262685346;8,212891102044123
Madla;Paradis (Stavanger);buss;2026-1;Weekday;13:30-16:30;11,377655582029718;6,399669226717022
Sola;Hundvåg;sykkel;2024-1;Weekday;13:30-16:30;0,034025196212811186;0,0
Bjergsted (Stavanger);Paradis (Stavanger);gange;2025-1;Weekday;20:00-05:30;0,7223169626363649;0,0
Hommersåk;Dusavika (Randaberg);bil;2021-1;Weekday;16:30-20:00;1,908437455580609;5,450088763530538
Paradis (Stavanger);Solborg (Stavanger);sykkel;2024-1;Weekday;08:30-13:30;15,44640157303462;0,0
Madla;Forus;bil;2023-3;Weekday;16:30-20:00;13,457731211012078;0,0
Hundvåg;Hundvåg;gange;2023-4;Weekday;16:30-20:00;92,15829605175315;0,0
Hinnavågen;Madla;bil;2020-3;Weekday;13:30-16:30;44,355970141192635;20,167279714230524
Lura;Ganddal (Sandnes);buss;2023-2;Weekday;08:30-13:30;3,301402451979126;0,773526251451692
Hundvåg;Madla;buss;2023-2;Weekday;16:30-20:00;1,1786186680956674;0,7380273158739182
Sola;Forus;buss;2023-2;Weekday;13:30-16:30;3,085033159108427;0,0
Forus;Forus;gange;2024-3;Weekend;Weekend;161,42104625670902;0,0
Hinnavågen;Hommersåk;bil;2024-4;Weekday;20:00-05:30;0,0;0,0
Jåsund (Sola);Nærbø;gange;2023-3;Weekday;08:30-13:30;0,0;0,0
Madla;Madla;buss;2022-4;Weekday;05:30-08:30;9,140504859287171;2,136594329299874
Nærbø;Hommersåk;bil;2020-2;Weekday;05:30-08:30;3,304750176774435;10,49520985643812
Sola;Klepp;bil;2025-4;Weekday;08:30-13:30;109,3939090728681;0,0
Dusavika (Randaberg);Sykehuset;buss;2021-4;Weekday;13:30-16:30;7,285204170370825;3,9203471660556453
Sola;Stavanger sentrum;buss;2021-3;Weekday;08:30-13:30;11,27771917817764;15,141452800388334
Madla;Lura;sykkel;2024-4;Weekday;16:30-20:00;1,5455018842369024;0,0
Paradis (Stavanger);Hinnavågen;bil;2025-1;Weekday;08:30-13:30;68,38142401372248;24,94759464278911
Sola;Solborg (Stavanger);buss;2021-3;Weekday;05:30-08:30;2,9761542388172133;2,0298666643813332
